episode,step,hidden_state,action,reward,persistence_reward,next_hidden_state,season,production,q_kaf,popsize,popsize_a,popsize_i,popsize_s,popsize0_a,popsize0_i,popsize0_s,popsizeage0,catch_total_apr+oct+nov,catch_total_jul+aug+sep,catch_apr+oct+nov_a,catch_apr+oct+nov_i,catch_apr+oct+nov_s,catch_jul+aug+sep_a,catch_jul+aug+sep_i,catch_jul+aug+sep_s,min_popsize_reach,min_catch_apr+oct+nov_reach,min_catch_jul+aug+sep_reach,CV,min_extthr_ratio,gini,minmeanratio,A_min_frac
0,23,"[ 9.56218651 12.25326075 14.62011159  7.67601774  7.63010996  5.3027373
  0.         20.17562598  0.        ]",[0.036 0.919 0.    0.081],-0.036275,,"[13.16230035  8.51215942  8.11483929  8.78960341 10.11677108 12.07015999
  8.88958399 20.17562598  1.        ]",0.0,0.036,674.77556600306,2464095.22,16370.91,211721.11,2236003.19,14215.9,209662.84,2235803.3,2459682.04,8888.0,2692.0,220.0,3122.0,5546.0,164.0,128.0,2400.0,16370.91,220.0,128.0,1.4962896760175683,3.848180217989626,0.6005266547039525,0.019931344211608835,0.13163654311214223
0,25,"[11.92650193  7.95903821  8.21216415  7.55415787  9.55797269 11.93201434
  0.         20.93735576  0.        ]",[0.033 0.344 0.    0.656],-0.033345,,"[11.57085234 13.46021614 15.07089388 10.61280038  7.86323783  5.88667859
  8.80537514 20.93735576  1.        ]",0.0,0.033,875.0597701576829,325885.81,153128.31,17016.44,155741.06,151220.65,2860.32,3684.51,157765.48,1323.0,11427.0,1103.0,75.0,145.0,8027.0,472.0,2928.0,17016.44,75.0,472.0,0.7304633665934542,4.273886957599336,0.2837898342367224,0.15664787613796377,0.8319084367823116
0,27,"[10.33519971 12.90138858 14.93298483  9.37704315  7.30469709  5.74894328
  0.         20.3049072   0.        ]",[0.881 0.772 0.    0.228],-0.880995,,"[12.1978877  10.40460414  9.61303246  7.38963095  6.70295904 10.94645082
 12.07937499 20.3049072   1.        ]",0.0,0.881,516.5729045656059,3502398.43,42609.87,402353.71,3057434.85,30796.84,400867.44,3057121.99,3488786.27,18543.0,18957.99,813.0,12964.0,4766.0,11.0,13556.0,5391.0,42609.87,813.0,11.0,1.4104175754104586,10.015964831833394,0.5738591311554465,0.036497735067794676,0.2772369406430951
0,29,"[11.0053564   9.98284368  9.93706468  6.15532027  6.14504875 10.80830694
  0.         20.08367376  0.        ]",[0.996 0.634 0.    0.366],-0.99563,,"[12.03107277 12.43312195 11.99670904  9.68971164  7.56023327  5.98057059
 12.20169809 20.08367376  1.        ]",0.0,0.996,321.35626041681894,152891.78,60664.93,22116.2,70110.65,60194.71,21650.8,20681.94,102527.45,1088.0,4278.0,424.0,321.0,343.0,2454.0,1039.0,785.0,22116.2,321.0,785.0,0.49888933580227435,5.5547540338436505,0.20927416764982396,0.43395792762697905,0.021043398052106643
0,31,"[10.85689408 11.89256871 11.91853451  8.4540455   7.0017944   5.84279844
  0.         20.59359225  0.        ]",[0.134 0.716 0.053 0.231],-0.13416,,"[12.4623221  12.78185328  9.09864433 10.02855398  9.19272205  4.27721786
 10.19738775 20.59359225  1.        ]",0.0,0.134,607.0240217433485,354219.92,56582.68,147272.9,150364.33,51889.66,146175.3,150020.59,348085.55,4843.0,7509.0,647.0,3887.0,309.0,3846.0,3354.0,309.0,56582.68,309.0,309.0,0.4512016584235568,13.300442666708037,0.17650363018837648,0.47921652740478293,0.0829409282133684
0,33,"[11.22651426 12.22564815  9.20517451  8.79284439  8.63396961  4.14112567
  0.         20.46811745  0.        ]",[0.389 0.749 0.055 0.196],-0.388915,,"[10.67219176  6.69173737 12.02501171  8.18250794 11.24512802  4.44701449
 11.26169103 20.46811745  1.        ]",0.0,0.389,632.6436132607222,301260.68,81680.32,209571.01,10009.35,75094.38,203952.67,9947.47,288994.52,1927.0,3905.0,261.0,1632.0,34.0,2934.0,615.0,356.0,10009.35,34.0,356.0,1.006690096945752,1.6683623284255082,0.44161457335443394,0.0996746405803771,0.006182219624651042
0,35,"[ 9.5493503   7.43156817 11.90226432  6.94737273 10.68630917  4.31060177
  0.         20.51391351  0.        ]",[0.602 0.841 0.    0.159],-0.60157,,"[10.51887525 13.32490391 12.53367786  8.36168391  9.17567757  5.70096924
 11.69786858 20.51391351  1.        ]",0.0,0.602,671.6202544927168,208186.11,15073.99,45439.18,147672.95,14034.57,1687.45,147599.46,163321.49,317.0,1928.0,60.0,165.0,92.0,184.0,485.0,1259.0,15073.99,60.0,184.0,1.0010717069280373,3.5433235002924968,0.4246167163625831,0.2172189585558806,0.0689545369208816
0,37,"[ 9.62516064 12.76634714 12.39568862  7.12643685  8.61692643  5.56331783
  0.         20.63525103  0.        ]",[0.767 0.772 0.    0.228],-0.767495,,"[11.213965   13.95982113 10.54467543  7.59115169 10.08237848  4.70561352
 11.94145585 20.63525103  1.        ]",0.0,0.767,817.9435581916119,614152.17,16383.42,355753.0,242015.75,15139.99,350229.62,241756.06,607125.67,3602.0,2735.0,175.0,2930.0,497.0,10.0,1244.0,1481.0,16383.42,175.0,10.0,0.8437577474911101,3.851120844657725,0.36838815804667213,0.08002944937897068,0.07589563107092412
0,39,"[10.12660004 13.40289178 10.54091049  6.3565662   9.52358115  4.56880599
  0.         19.64679397  0.        ]",[1.    0.009 0.109 0.882],-0.9996,,"[ 8.13847722  4.89526127 10.14557115  8.87984968 11.89711067  5.87296815
 12.20567757 19.64679397  1.        ]",0.0,1.0,324.184671043165,739090.99,25573.49,675591.08,37926.43,24998.22,661913.57,37831.0,724742.79,9542.0,1853.0,2311.0,6405.0,826.0,27.0,1766.0,60.0,25573.49,826.0,27.0,1.5090421369725477,6.01135784895009,0.5863216572790089,0.1038038225848214,0.0224947787728621
0,41,"[ 7.68694492  7.76478262 10.52719344  7.64437206 11.33828714  5.73523852
  0.         20.97007768  0.        ]",[0.903 0.189 0.001 0.81 ],-0.90263,,"[11.56539108 16.11809575 15.15497221  3.82208059  7.63491826  6.70037928
 12.10363563 20.97007768  1.        ]",0.0,0.903,1069.4748136363378,128220.96,4266.56,86330.21,37624.18,2178.71,2355.15,37315.6,41849.45,876.0,1985.0,21.0,626.0,229.0,98.0,1791.0,96.0,4266.56,21.0,96.0,0.9656070285479109,1.0029064841762505,0.42667832362808106,0.09982517678856874,0.4893520775519389
