"alpha","beta","mu_s","mu_i","mu_a","sd","beta_2","tau","r0","r1","lM0mu_s","lM0mu_i","lM0mu_a","lM1mu_s","lM1mu_i","lM1mu_a","lMwmu_s","lMwmu_i","lMwmu_a","irphi"
910.538449884199,5.72321039917062,12.0168470467804,11.5844458401774,10.7861151360251,1.89744643325853,1.89454815466358,0.0524266190151421,0.0393580764176117,0.245493946717868,-5.66736135531411,-4.13488431254317,-4.86716441382071,-4.10640419972403,-5.08576421679234,-4.90759232306258,-6.4150277312796,-5.06751309249951,-4.78461380650068,0.222372771493331
603.311402487704,10.8082583190666,12.7060254948933,12.4615634515176,9.74912159066941,1.60041257049858,1.96861381340159,0.0582291821667577,0.0305610307988362,0.241670790728626,-5.73342545342515,-4.59017713503457,-4.37107632360316,-4.31738622878354,-4.92841717663682,-4.52116737435757,-7.48234358601756,-4.91559466323291,-5.30163173319901,0.198556246734849
519.72917050461,8.85804232237149,11.867525255488,13.048125615428,10.1383641676094,1.60606864004453,2.06397896384817,0.0651004755963485,0.0379161945149014,0.228967727681695,-6.44423491573209,-3.65575672265989,-4.88602356406544,-4.18363843645501,-4.49253578660322,-4.74699851804827,-6.50704034245978,-6.48473316480667,-4.93811441506363,0.117399563174325
904.720072007313,8.29104223007971,12.4649587893598,13.2611152207228,9.99137884486205,1.38535720715914,1.7929081060094,0.110063215131311,0.0280689144814929,0.427116970214702,-4.81440602171364,-3.94043746424738,-4.74421905249702,-3.83117163645018,-4.57403769101728,-4.38774184377897,-6.50170363626798,-5.01333167648032,-5.72732489512752,0.140498712676506
652.694604780457,9.0496566985156,12.239522015174,12.8943798146192,10.428358982436,1.43700586519264,2.05485938666636,0.0471989644885725,0.026337951172635,0.299037582295323,-5.13121258509622,-4.28436185130992,-4.43841703025619,-4.13674739101214,-4.9976602365181,-4.89729050952833,-6.4801288375029,-5.29943065999499,-5.16097244570549,0.162303788619103
726.134449987367,10.6448211376901,12.067784690679,12.7647849856618,10.1256412287722,1.70246222268332,1.96712746198412,0.0761260578034866,0.0445053770881575,0.376506810696132,-5.16776999821996,-3.8944991119666,-4.87439797282722,-4.22320722681658,-5.21817670339767,-4.52900979341103,-6.14233585886487,-5.08194787083704,-4.60772458408556,0.147923512522447
845.975950987412,8.59411085435426,12.1211592251379,13.2445543042309,9.8144165678921,1.3124698375749,2.07196687066521,0.0543976918813327,0.036159140032829,0.249907907841309,-5.48687091973613,-4.34103874286573,-4.38303415542527,-4.20921048701968,-4.71466582296401,-4.70352012986741,-7.49888598672147,-5.22565979483165,-5.23087272478304,0.116363885979618
631.495918238185,9.20853705289447,12.6369987151072,12.9201276218345,10.4792336251763,1.67454065916183,1.95473546624306,0.0509437959177065,0.0220734980772941,0.25794765007751,-5.8194368541485,-3.78849074831258,-4.62396702426703,-3.93798211540717,-4.449547072808,-4.59122816695847,-7.01816457270661,-5.14711146564966,-4.93272140630569,0.123428057680954
634.294610419336,8.32807228324917,12.5218675031824,12.8345439774851,9.26317865078194,1.35662375291501,2.10816319767792,0.059244196904774,0.0603708727803714,0.578348083507279,-4.99013359680346,-4.20591249722723,-4.48258825085126,-4.06410920173431,-4.8239670849151,-4.69563587878137,-7.03554774658827,-5.2971035210767,-4.87977841873489,0.0866097504124424
425.584533859538,8.26868428437295,12.9205682353046,13.2493461237907,11.2767562142624,1.52311389434265,1.95633328664982,0.0726626628122325,0.0211452579242705,0.203120125459127,-4.84887550788631,-4.14580512074857,-4.56759720956599,-4.05000334407053,-4.62686433138359,-5.01835261037532,-6.84939791532362,-5.91390842009378,-4.51964368656926,0.160100408109813
